HGNC Approved Gene Symbol,Ion Reporter Gene Symbol
AAAS,AAAS
ABCA12,ABCA12
ABCB11,ABCB11
ABCB4,ABCB4
ABCC6,ABCC6
ABCC8,ABCC8
ABCD1,ABCD1
ACAD9,ACAD9
ACADM,ACADM
ACADVL,ACADVL
ACAT1,ACAT1
ACOX1,ACOX1
ACSF3,ACSF3
ADA,ADA
ADAMTS2,ADAMTS2
ADGRG1,GPR56
AGA,AGA
AGL,AGL
AGPS,AGPS
AGXT,AGXT
AIRE,AIRE
ALDH3A2,ALDH3A2
ALDH7A1,ALDH7A1
ALDOB,ALDOB
ALG6,ALG6
ALMS1,ALMS1
ALPL,ALPL
AMT,AMT
AP1S1,AP1S1
AQP2,AQP2
AR,AR
ARG1,ARG1
ARSA,ARSA
ARSB,ARSB
ASL,ASL
ASNS,ASNS
ASPA,ASPA
ASS1,ASS1
ATM,ATM
ATP6V1B1,ATP6V1B1
ATP7A,ATP7A
ATP7B,ATP7B
ATP8B1,ATP8B1
ATRX,ATRX
BBS1,BBS1
BBS10,BBS10
BBS12,BBS12
BBS2,BBS2
BBS4,BBS4
BBS9,BBS9
BCKDHA,BCKDHA
BCKDHB,BCKDHB
BCS1L,BCS1L
BLM,BLM
BSND,BSND
BTD,BTD
BTK,BTK
CANT1,CANT1
CAPN3,CAPN3
CASQ2,CASQ2
CBS,CBS
CC2D1A,CC2D1A
CCN6,WISP3
CDH23,CDH23
CEP290,CEP290
CERKL,CERKL
CFTR,CFTR
CHM,CHM
CHRNE,CHRNE
CHRNG,CHRNG
CIITA,CIITA
CLN3,CLN3
CLN5,CLN5
CLN6,CLN6
CLN8,CLN8
CLRN1,CLRN1
CNGA3,CNGA3
CNGB3,CNGB3
COL11A2,COL11A2
COL4A3,COL4A3
COL4A4,COL4A4
COL4A5,COL4A5
COL7A1,COL7A1
CPS1,CPS1
CPT1A,CPT1A
CPT2,CPT2
CRB1,CRB1
CTNS,CTNS
CTSC,CTSC
CTSD,CTSD
CTSK,CTSK
CYBA,CYBA
CYBB,CYBB
CYP11B1,CYP11B1
CYP11B2,CYP11B2
CYP17A1,CYP17A1
CYP19A1,CYP19A1
CYP1B1,CYP1B1
CYP21A2,CYP21A2
CYP27A1,CYP27A1
CYP27B1,CYP27B1
DBT,DBT
DCLRE1C,DCLRE1C
DDB2,DDB2
DHCR7,DHCR7
DHDDS,DHDDS
DKC1,DKC1
DLD,DLD
DMD,DMD
DNAH5,DNAH5
DNAI1,DNAI1
DNAI2,DNAI2
DNAL1,DNAL1
DOK7,DOK7
DPYD,DPYD
DYSF,DYSF
EDA,EDA
EDAR,EDAR
EIF2AK3,EIF2AK3
EIF2B5,EIF2B5
ELP1,IKBKAP
EMD,EMD
ERCC2,ERCC2
ERCC3,ERCC3
ERCC4,ERCC4
ERCC5,ERCC5
ERCC6,ERCC6
ERCC8,ERCC8
ESCO2,ESCO2
ETFA,ETFA
ETFB,ETFB
ETFDH,ETFDH
ETHE1,ETHE1
EVC,EVC
EVC2,EVC2
EXOSC3,EXOSC3
EYS,EYS
F8,F8
F9,F9
FAH,FAH
FAM161A,FAM161A
FANCA,FANCA
FANCC,FANCC
FANCG,FANCG
FH,FH
FKRP,FKRP
FKTN,FKTN
G6PC,G6PC
GAA,GAA
GALC,GALC
GALE,GALE
GALK1,GALK1
GALNS,GALNS
GALNT3,GALNT3
GALT,GALT
GAMT,GAMT
GBA1,GBA
GBE1,GBE1
GCDH,GCDH
GCH1,GCH1
GDF5,GDF5
GFM1,GFM1
GH1,GH1
GHRHR,GHRHR
GJB1,GJB1
GJB2,GJB2
GJB6,GJB6
GLA,GLA
GLB1,GLB1
GLDC,GLDC
GLE1,GLE1
GNE,GNE
GNPTAB,GNPTAB
GNPTG,GNPTG
GNS,GNS
GORAB,GORAB
GUCY2D,GUCY2D
GUSB,GUSB
HADHA,HADHA
HADHB,HADHB
HAX1,HAX1
HBA1,HBA1
HBA2,HBA2
HBB,HBB
HEXA,HEXA
HEXB,HEXB
HGSNAT,HGSNAT
HJV,HFE2
HLCS,HLCS
HMGCL,HMGCL
